address,is_deleted
"Улица 17 Сентября, 19",0
"Улица 17 Сентября, 48",0
"Улица 17 Сентября, 52",0
"Улица 17 Сентября, 61",0
"Улица 1 Мая, 3  / Академическая улица, 10",0
"Улица 1 Мая, 11",0
"Улица 1 Мая, 14",0
"Улица 1 Мая, 26 / Улица Волковича, 6",0
"2-й переулок Белуша, 2",0
"2-й переулок Белуша, 3",0
"2-й переулок Белуша, 6",0
"2-й переулок Дзержинского, 21",0
"2-й переулок Дзержинского, 23",0
"Академическая улица, 7А",0
"Академическая улица, 16",0
"Улица Аксёнова, 1",0
"Улица Аксёнова, 1 / Краснопартизанская улица, 71",0
"Улица Аксёнова, 2",0
"Улица Аксёнова, 3",0
"Улица Аксёнова, 4",0
"Улица Аксёнова, 10",0
"Площадь Антония Тызенгауза, 2",0
"Площадь Антония Тызенгауза, 3",0
"Площадь Антония Тызенгауза, 3А",0
"Площадь Антония Тызенгауза, 4",0
"Площадь Антония Тызенгауза, 5",0
"Улица Антонова, 1",0
"Улица Антонова, 20",0
"Асфальтная улица, 57",0
"Асфальтная улица, 59",0
"Асфальтная улица, 60",0
"Асфальтная улица, 61",0
"Асфальтная улица, 61А",0
"Асфальтная улица, 63",0
"Асфальтная улица, 63А",0
"Асфальтная улица, 67",0
"Асфальтная улица, 69",0
"Улица Белуша, 18",0
"Улица Белуша, 22",0
"Улица Белуша, 56",0
"Улица Белые Росы, 1",0
"Улица Белые Росы, 1А",0
"Улица Белые Росы, 2",0
"Улица Белые Росы, 3",0
"Улица Белые Росы, 3А",0
"Улица Белые Росы, 7",0
"Улица Белые Росы, 9",0
"Улица Белые Росы, 11",0
"Улица Белые Росы, 13",0
"Улица Белые Росы, 15",0
"Улица Белые Росы, 19",0
"Улица Белые Росы, 21",0
"Улица Белые Росы, 23",0
"Улица Белые Росы, 25",0
"Улица Белые Росы, 29",0
"Улица Белые Росы, 31",0
"Улица Белые Росы, 33",0
"Улица Белые Росы, 37",0
"Улица Белые Росы, 39",0
"Улица Белые Росы, 41",0
"Улица Белые Росы, 43",0
"Улица Белые Росы, 45",0
"Улица Белые Росы, 47",0
"Улица Белые Росы, 49",0
"Улица Белые Росы, 53",0
"Улица Белые Росы, 55",0
"Улица Белые Росы, 57",0
"Улица Белые Росы, 59",0
"Улица Белые Росы, 61",0
"Улица Белые Росы, 65",0
"Улица Белые Росы, 67",0
